density,height,rep_num,car_flow
0.0,5,0,0.0
0.0,5,1,0.0
0.0,5,2,0.0
0.0,5,3,0.0
0.0,5,4,0.0
0.0,5,5,0.0
0.0,5,6,0.0
0.0,5,7,0.0
0.0,5,8,0.0
0.0,5,9,0.0
0.0,20,0,0.0
0.0,20,1,0.0
0.0,20,2,0.0
0.0,20,3,0.0
0.0,20,4,0.0
0.0,20,5,0.0
0.0,20,6,0.0
0.0,20,7,0.0
0.0,20,8,0.0
0.0,20,9,0.0
0.0,100,0,0.0
0.0,100,1,0.0
0.0,100,2,0.0
0.0,100,3,0.0
0.0,100,4,0.0
0.0,100,5,0.0
0.0,100,6,0.0
0.0,100,7,0.0
0.0,100,8,0.0
0.0,100,9,0.0
0.0,500,0,0.0
0.0,500,1,0.0
0.0,500,2,0.0
0.0,500,3,0.0
0.0,500,4,0.0
0.0,500,5,0.0
0.0,500,6,0.0
0.0,500,7,0.0
0.0,500,8,0.0
0.0,500,9,0.0
0.0,1000,0,0.0
0.0,1000,1,0.0
0.0,1000,2,0.0
0.0,1000,3,0.0
0.0,1000,4,0.0
0.0,1000,5,0.0
0.0,1000,6,0.0
0.0,1000,7,0.0
0.0,1000,8,0.0
0.0,1000,9,0.0
0.0,2000,0,0.0
0.0,2000,1,0.0
0.0,2000,2,0.0
0.0,2000,3,0.0
0.0,2000,4,0.0
0.0,2000,5,0.0
0.0,2000,6,0.0
0.0,2000,7,0.0
0.0,2000,8,0.0
0.0,2000,9,0.0
0.05263157894736842,5,0,0.0
0.05263157894736842,5,1,0.0
0.05263157894736842,5,2,0.0
0.05263157894736842,5,3,0.0
0.05263157894736842,5,4,0.0
0.05263157894736842,5,5,0.0
0.05263157894736842,5,6,0.0
0.05263157894736842,5,7,0.5
0.05263157894736842,5,8,0.0
0.05263157894736842,5,9,0.0
0.05263157894736842,20,0,0.15789473684210525
0.05263157894736842,20,1,0.05263157894736842
0.05263157894736842,20,2,0.0
0.05263157894736842,20,3,0.05263157894736842
0.05263157894736842,20,4,0.0
0.05263157894736842,20,5,0.05263157894736842
0.05263157894736842,20,6,0.05263157894736842
0.05263157894736842,20,7,0.10526315789473684
0.05263157894736842,20,8,0.0
0.05263157894736842,20,9,0.0
0.05263157894736842,100,0,0.04040404040404041
0.05263157894736842,100,1,0.04040404040404041
0.05263157894736842,100,2,0.04040404040404041
0.05263157894736842,100,3,0.0707070707070707
0.05263157894736842,100,4,0.06060606060606061
0.05263157894736842,100,5,0.06060606060606061
0.05263157894736842,100,6,0.08080808080808081
0.05263157894736842,100,7,0.04040404040404041
0.05263157894736842,100,8,0.06060606060606061
0.05263157894736842,100,9,0.06060606060606061
0.05263157894736842,500,0,0.10020040080160321
0.05263157894736842,500,1,0.0
0.05263157894736842,500,2,0.08016032064128256
0.05263157894736842,500,3,0.04008016032064128
0.05263157894736842,500,4,0.04008016032064128
0.05263157894736842,500,5,0.06012024048096192
0.05263157894736842,500,6,0.04008016032064128
0.05263157894736842,500,7,0.06012024048096192
0.05263157894736842,500,8,0.08016032064128256
0.05263157894736842,500,9,0.06012024048096192
0.05263157894736842,1000,0,0.08008008008008008
0.05263157894736842,1000,1,0.02002002002002002
0.05263157894736842,1000,2,0.16016016016016016
0.05263157894736842,1000,3,0.16016016016016016
0.05263157894736842,1000,4,0.08008008008008008
0.05263157894736842,1000,5,0.04004004004004004
0.05263157894736842,1000,6,0.07907907907907907
0.05263157894736842,1000,7,0.08008008008008008
0.05263157894736842,1000,8,0.08008008008008008
0.05263157894736842,1000,9,0.06006006006006006
0.05263157894736842,2000,0,0.080040020010005
0.05263157894736842,2000,1,0.0400200100050025
0.05263157894736842,2000,2,0.0400200100050025
0.05263157894736842,2000,3,0.02001000500250125
0.05263157894736842,2000,4,0.02001000500250125
0.05263157894736842,2000,5,0.060030015007503754
0.05263157894736842,2000,6,0.0400200100050025
0.05263157894736842,2000,7,0.0
0.05263157894736842,2000,8,0.02001000500250125
0.05263157894736842,2000,9,0.080040020010005
0.10526315789473684,5,0,0.0
0.10526315789473684,5,1,0.0
0.10526315789473684,5,2,0.25
0.10526315789473684,5,3,0.0
0.10526315789473684,5,4,0.0
0.10526315789473684,5,5,0.0
0.10526315789473684,5,6,0.25
0.10526315789473684,5,7,0.25
0.10526315789473684,5,8,0.0
0.10526315789473684,5,9,0.0
0.10526315789473684,20,0,0.10526315789473684
0.10526315789473684,20,1,0.05263157894736842
0.10526315789473684,20,2,0.2631578947368421
0.10526315789473684,20,3,0.15789473684210525
