rule,rep_num
0,0,,1
0,1,,1
0,2,,1
0,3,,1
0,4,,1
0,5,,1
0,6,,1
0,7,,1
0,8,,1
0,9,,1
1,0,,2
1,1,,2
1,2,,2
1,3,,2
1,4,,2
1,5,,2
1,6,,2
1,7,,2
1,8,,2
1,9,,2
2,0,,50
2,1,,50
2,2,,50
2,3,,50
2,4,,50
2,5,,50
2,6,,50
2,7,,50
2,8,,50
2,9,,50
3,0,,50
3,1,,50
3,2,,50
3,3,,50
3,4,,50
3,5,,50
3,6,,50
3,7,,50
3,8,,50
3,9,,50
4,0,,1
4,1,,1
4,2,,1
4,3,,1
4,4,,1
4,5,,1
4,6,,1
4,7,,1
4,8,,1
4,9,,1
5,0,,2
5,1,,2
5,2,,2
5,3,,2
5,4,,2
5,5,,2
5,6,,2
5,7,,2
5,8,,2
5,9,,2
6,0,,50
6,1,,50
6,2,,50
6,3,,50
6,4,,50
6,5,,50
6,6,,50
6,7,,50
6,8,,50
6,9,,50
7,0,,50
7,1,,50
7,2,,50
7,3,,50
7,4,,50
7,5,,50
7,6,,50
7,7,,50
7,8,,50
7,9,,50
8,0,,1
8,1,,1
8,2,,1
8,3,,1
8,4,,1
8,5,,1
8,6,,1
8,7,,1
8,8,,1
8,9,,1
9,0,,5
9,1,,50
9,2,,50
9,3,,5
9,4,,50
9,5,,50
9,6,,50
9,7,,50
9,8,,5
9,9,,50
10,0,,50
10,1,,50
10,2,,50
10,3,,50
10,4,,50
10,5,,50
10,6,,50
10,7,,50
10,8,,50
10,9,,50
11,0,,50
11,1,,50
11,2,,50
11,3,,50
11,4,,50
11,5,,50
11,6,,50
11,7,,50
11,8,,50
11,9,,50
12,0,,1
12,1,,1
12,2,,1
12,3,,1
12,4,,1
12,5,,1
12,6,,1
12,7,,1
12,8,,1
12,9,,1
13,0,,1
13,1,,1
13,2,,1
13,3,,1
13,4,,1
13,5,,1
13,6,,1
13,7,,1
13,8,,1
13,9,,1
14,0,,50
14,1,,50
14,2,,50
14,3,,50
